Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
2-5	5	Masters	Data science 	Mostly Self-Taught	I guess all of the above, depends on learning style too. I used a combination of these.	Intended to work in data visualization	No	Founder and Principal Consultant	Data Visualization Role has higher compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Consultant/Contractor/Freelancer						2	2	0	2	2	0	Excel, Illustrator, Tableau	I'm able to choose my own tools.	Dashboard, Presentations	Line Chart, Bar Chart, Scatterplot, Infographics, Pictorial Visualization, Treemap	Product Managers, Project Managers, Executives	Moderate, Expert	Weekly	Analysis, Summarization	Consultative	5	The data side of data visualization	People wanting to stick to the old ways of doing things.. for example pie charts !		The amount of time it takes to produce a high quality datviz	4	2	People being more open minded towards newer possibilities		David Mccandless	Much more	Male	36-45	India	Private sector
2-5	5	Masters	Applied Economics	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Senior Associate	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						1	1	0	O	1	0.5	Excel, ggplot, Python, R	We have a set list of tools we're expected to use for data visualization.	Documents, Presentations, Email	Line Chart, Scatterplot, Network Diagram, Flow Diagram	Project Managers	Intro	Monthly	Analysis	Subordinate	2	The design side of data visualization	Only person with the skill sets to do it	Having access to more tools	They do not understand math/numbers. 	5	5	Having access to more tools. 	How to market both your quantitative and design skills effectively. There is a lot of noise and a lot of different definitions ( from and employers perspective) as to what data analytics, data science, data visualization professionals do. 	Edward tufte, Flowing Data	More	Male	26-35	Washington, DC	Private sector
2-5	5	Masters	Biotechnology 	Mostly Self-Taught	Examples	Intended to work in data visualization	No	Scientist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Consultant/Contractor/Freelancer						2	2	2	0	4	1	D3, Excel, ggplot, R, Klipfolio	I'm able to choose my own tools.	Dashboard, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization	Analysts, Scientists, Product Managers, Executives	Moderate, Expert	Daily	Analysis, Summarization	Consultative	5	The design side of data visualization	Trying to get stakeholders to participate in the discussion around target audience and purpose of certain charts. Typically they think it's a great idea to invest some time to improve the data visualizations but aren't always willing to participate in the collaboration needed to accomplish this task. 	Create a template library of visualizations for re-use rather than recreate each time as new. Also documentation of rules and decisions made in the production of data visualizations for reference later. 	The time invested in data visualizations is more than just making it look "pretty". 	1	5	More participation in defining or polling of which visualizations are intuitive	Formation of a committee for educating and establishing/defining best practices for data visualization. There is not a single group I can point out to someone looking to step up there game as far as data visualization is concerned. There are several data viz catalogues each with their own system of naming. Such a committee could either spin off an "official" repository or be tasked with "harmonizing" (to use Maarten's word) these catalogues. Long term I would hate to see only a few thought leaders in power but right now some structure is needed to get the ball rolling. 	Elijah Meeks	More	Male	26-35	California	Private sector
2-5	5	Other	Chinese	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Visualization Lead	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, product enhancement	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Engineering, Marketing, Data Science/Analytics	2	0.5	0.5	1	2	0	D3, Gephi, Illustrator, Leaflet, Mapbox, data illustrator, flourish	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Network Diagram, Choropleth Map, Flow Diagram, sankey, contour plot	General Public, Analysts, data scientists, pros in finance, risk, legal, tax, global trade	Moderate	Monthly	Entertainment, Journalism, Analysis, Summarization, Education, Research, PR/Branding	Collaborative	5	The data side of data visualization	NDA/confidential work which is hard to make public	more hand-drawn or human elements, less computery perfect geometry	sometimes it's hard to get past the pretty pictures and into the analysis but generally it's well appreciated	3	5	structuring my weekly schedule to block out 2-3 days for deep work, no meetings or interruptions	honestly it's quite good and there's more content than I have time to read	Elijah Meeks, Adam Pearce, Nadieh Bremer, Alberto Cairo, Dominicus Bauer	More	male	46-55	Massachusetts	Private sector
2-5	5	Bachelors	Political Science	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	No	Business Operations Analyst	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts)	Yes	Data Science/Analytics	2	0	0	1	4	1	Highcharts, Tableau	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Documents, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram	Engineers, Product Managers, Executives	Expert	Daily	Analysis, Summarization, Education, Research	Collaborative	4	The data side of data visualization	data size makes it challenging to create 'live' dashboards	I'd want to have more time for creativity/the ability to learn and practice communicating concepts, tool agnostic.		4	3	A dedicated data engineer to build my pipelines for me. I spend a lot of time getting the data and building the tables I need for reporting.		Elijah Meeks, Lisa Charlotte Rost, Robert Kosara	Same	Female	26-35	California	Private sector
2-5	5	Bachelors	Accounting	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Member of Technical Staff	Data Visualization Role has higher compensation	Data visualization is the focus of my job	Data visualization is only part of my job	More	Employee at a Company	Analysis, Machine Learning, Communication, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, Engineering, Data Science/Analytics	4.5	1	0.5	1	1	1.5	D3, Gephi, Mapbox, React, Semiotic, WebGL, Unity	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Virtual Reality Experience	Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Pictorial Visualization, Dendrogram, Network Diagram, Choropleth Map, Raster Map	Analysts, Engineers, Executives	Moderate, Expert	Daily	Analysis, Research	Collaborative	5	The data side of data visualization	Limits imposed on vis by application tech debt.  unable to sync state across visualizations on the same page.	add a dedicated data engineer to my team	The importance of real data to prototype vis with early on.  	4	5	add a dedicated data engineer + devops unicorn team member / AI that can transform data faster than I can	how to design vis tools?  meta-learning skills for vis practitioners?  what is the pareto-optimal amount of abstraction for a vis in the thought-leader's work environment?  who are natural allies for datavis practitioners and how to speak to them?	Hadley Wickham, Nadieh Bremer, Lisa Charlotte Rost, Gregor Aisch, Jerome Cukier, @hardmaru, Micah Stubbs, Chris Olah	More	Male	26-35	California	Private sector
2-5	5	PhD	political science	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Researcher	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Exploration	Embedded in another group	Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	Research, Data Science/Analytics	4	1	1	0.5	0.5	0	D3, Excel, ggplot, Python, QGIS, R	I'm able to choose my own tools.	Dashboard, Scrollytelling, Static Web Page, Presentations	Line Chart, Bar Chart, Scatterplot, Infographics, Choropleth Map	General Public, Analysts, Scientists	Intro	Monthly	Entertainment, Journalism, Analysis, Education	Collaborative	4	The design side of data visualization	that it always takes longer than expected and tends to get out of hand	user interface	looking easy != being easy	4	2			Mike Bostock, Alberto Cairo, Scott Murray, Gregor Aisch	More	Male	36-45	Europe	Private sector
2-5	5	Masters	Geography	Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	No	Data Analyst	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Summary/Overview, Communication, Marketing	Embedded in another group	Excel/PowerPoint	Don't Know	Sales	1	2	1	0.5	3	1	Excel, ggplot, Leaflet, Power BI, QGIS, R	I'm able to choose my own tools.	Documents, Presentations	Line Chart, Bar Chart, Infographics, Choropleth Map	Executives	Expert	Weekly	Analysis, Summarization	Collaborative	2	The data side of data visualization	Lack of access to data and tools	More time to focus on design	How good visualization can be used to make an important decision	5	4	More tools	How to communicate the value of good data visualization and how to best work with the constraints of IT to allow access to those tools. 	Mike Bostock, Edward Tufte	More	Male	36-45	Iowa	Private sector
2-5	5	Bachelors	Finance	Equal Parts School and Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Data Scientist	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	No	Research, Data Science/Analytics	3	0	8	1	3	0	D3, Excel, ggplot, Plotly, Python, R, Tableau	I'm able to choose my own tools.	Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Treemap, Network Diagram	Analysts, Executives	Moderate	Daily	Journalism, Analysis, Research	Collaborative	4	The data side of data visualization	Compromises made for the sake of the deadline	Write higher quality material less often (currently writing / visualizing every day)	The use of best practices to avoid misleading conclusions	5	5	More attention to reproducible workflow in the data pipeline	Examples of workflows	Nadieh Bremer	Same	Male	36-45	Illinois	Private sector
2-5	5	Bachelors	Graphic Design	Mostly Self-Taught	Online tutorial	Ended up doing data visualization as a requirement of the job	No	Information Designer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Consultant/Contractor/Freelancer						2	2	0	4			Excel, Illustrator, Leaflet, QGIS	I'm able to choose my own tools.	Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Infographics, Pictorial Visualization	General Public, Scientists, Product Managers, Executives	Intro	Weekly	Entertainment, Education, PR/Branding	Consultative	1	The data side of data visualization	Not enough technical knowledge	Projects that allowed me to get better at the technical aspects	Not about making it pretty, but about pre-visualization analysis/questioning intentions and assumptions.	5	2	More projects that allowed me to do it.		New York Times, Washington Post, National Geographic	Much more	Male	26-35	North Carolina	Private sector
