Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Equal Parts School and Self-Taught,"Books, Examples, Collaboration with more skilled practitioners, Working through a project, Classes at the graduate level",Learning a new technical tool or library,No,Data visualization is the focus of my job,Data visualization is only part of my job,About as much as I expected for this role,Engineer,$200k+,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Both,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Engineering, Research, Data Science/Analytics",5,25,0,0,2,0,"D3, Mapbox, React, Tableau, Vega, WebGL, React-vis",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map","Analysts, Engineers, Product Managers, Executives","Intro, Moderate, Expert",Daily,"Analysis, Summarization",Consultative,5,"The majority of my time is spent on application development, often repetitive application development, not visualization development ",Less time data wrangling,"It requires expertise beyond design and engineering (eg HCI, Cog Sci, domain-specific UX)",3,3,2,Better application frameworks ,,"Jeff Heer, Amelia Wattenberg, Fernanda Viegas, Mike Bostock, Ben Schneideman",More,10,Masters,Private sector,English,Man,No,"Oakland, CA",USA,English 
Equal Parts School and Self-Taught,"Examples, Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Engineer,$100k - $120k,,"Analysis, Summary/Overview, Marketing",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks",2,"Marketing, Data Science/Analytics",4,1,0,2,4,3,"D3, Excel, Python, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,Dashboard,Line Chart,"Engineers, myself",Intro,Not tracked / Unknown,,Collaborative,3,time,actually obtain a specific Data Viz Engineer role,,3,2,4,,more workshops,,Much more,1,"MLIS, Master of Library and Information Science",Private sector,Communication,Man,"No, but I identify as an Ally",Seattle,USA,
Mostly Self-Taught,"Books, Workshops, Examples, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$80k - $100k,,"Analysis, Summary/Overview, Communication, Marketing, Exploration",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), arcGIS",4,"Marketing, Research, Data Science/Analytics",8,16,0,4,8,4,Tableau,We have a set list of tools we're expected to use for data visualization and this causes no issue,"Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Scatterplot, Treemap, Choropleth Map","General Public, Analysts, Product Managers, Project Managers, Executives","Intro, Moderate, Expert",Weekly,"Analysis, Summarization, Research, PR/Branding",Consultative,5,A lack of understanding of the benefits of visualization,Remove the commercial influence (ie. we need to do it this way because we cannot challenge the client),They usually don't see the upfront work needed to create a visualization,2,4,2,,,,More,4,Bachelors,Private sector,IT/Business,Man,No,Auckland,New Zealand,"English, German"
Mostly Self-Taught,"Books, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Analyst,$100k - $120k,,"Analysis, Summary/Overview, Communication, Storytelling",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),5,"IT, Leadership",15,30,,5,30,,Tableau,We have a set list of tools we're expected to use for data visualization and this causes no issue,Dashboard,"Line Chart, Bar Chart, Scatterplot, Treemap","General Public, Product Managers, Executives","Intro, Moderate",Weekly,"Analysis, Summarization",Consultative,2,Understanding best designs to tell stories,More experience ,How much time data prep takes,5,5,4,Data access within my organization ,,,Much more,3,Bachelors,Private sector,Computer Info Systems,Man,"No, but I identify as an Ally",Denver,USA,English
Mostly Self-Taught,"Books, Examples, Collaboration with more skilled practitioners",I don't feel I need to improve my data visualization skills currently,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Engineer,$60k - $80k,,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration",There are no specialists in data visualization in my organization,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Ggplot",5,"Research, Data Science/Analytics",10,17,10,0,10,0,"D3, ggplot2, Highcharts, Plotly, R",I'm able to choose my own tools.,"Dashboard, Interactive Notebook, Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Dendrogram, Network Diagram, Flow Diagram (Sankey, DAGRE, Flow Chart), Force-Directed Graph","Analysts, Engineers, Product Managers, Executives","Intro, Moderate",,"Analysis, Summarization, Research",Collaborative,4,,,,,,,,,,,10,Masters,Private sector,Politics,Man,No,Hamburg,Germany,
Mostly Self-Taught,"Examples, Video Tutorials, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,Less,Engineer,$80k - $100k,$50.00,"Analysis, Summary/Overview, Exploration",There are no specialists in data visualization in my organization,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Design, Engineering",5,5,0,3,1,1,"ArcGIS, D3, Excel, Plotly, Python, Matplotlib",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Interactive Notebook, Presentations","Line Chart, Scatterplot, 3D Charts","Engineers, Project Managers",Intro,Not tracked / Unknown,Analysis,Subordinate,4,Lesrning a framework,Easy embedding frameworks,Importance of visualization,3,5,2,"Easy embedding, flaxibility","More advice, guidance",,More,3,Masters,Private sector,Civil engineer,Man,No,Salzburg,Austria,
Mostly Self-Taught,"Collaboration with more skilled practitioners, Working through a project",Improving my design skills,No,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Developer,$100k - $120k,,"Summary/Overview, Storytelling",Separate data visualization group,Business Intelligence Tools (like Tableau),3,"Data Science/Analytics, Operational Decision Making & Support",25,5,0,8,2,6,"D3, Tableau, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Dashboard, Scrollytelling","Line Chart, Bar Chart, Treemap, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts, Executives",Intro,Daily,Analysis,Consultative,4,Being asked to replicate existing Excel Reports,Better Design,The possibilities are endless. We can do more than replicate existing solutions.,3,4,4,More Quiet Time,"Engaging Stakeholders, advancing data literacy in larger populations","Mike Bostock, Elijah Meeks, Stephen Few",Much more,2,Bachelors,Private sector,Supply Chain Management,Man,"No, but I identify as an Ally",Portland,USA,English
Mostly Self-Taught,"Collaboration with more skilled practitioners, Working through a project",Learning a new technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Developer,$60k - $80k,,"Analysis, Communication, Exploration",There are no specialists in data visualization in my organization,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Research, Leadership",1,1,1,0,1,0,"D3, Excel, Python, Matplotlib",I'm able to choose my own tools.,Documents,"Line Chart, Bar Chart, Scatterplot, Flow Diagram (Sankey, DAGRE, Flow Chart), Swarm Chart","Analysts, Project Managers",Expert,Quarterly,"Analysis, Research",Subordinate,2,"As a beginner I need investing a big amount of hours to get things done, i feel guilty because I shouldn't ""waste time"" on these things but rather get real work done. All the visualization tasks that I find are more because I want to do them and not because people think they are needed. I think the kind of analysis I am trying to do is valuable, but I have to convince people.",,I dont think everyone sees the need,4,4,4,Having a mentor,"I want to see how a pro solves a real problem, step by step. What do they think first, how do they try it, what kind of roadblocks they find, if they also feel lost when exploring data, how do they solve that blockage and carry on. Step by step until the project is done and delivered","Moritz Stefaner, Enrico Bertini",Much more,0.5,Masters,Not-for-profit,,Man,"No, but I identify as an Ally",Heidelberg,Germany,"Spanish, English, German"
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$40k - $60k,$22.00,"Analysis, Summary/Overview, Communication, Marketing, Storytelling",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),6,"Marketing, Research, IT, Leadership",5,0,5,0,20,0,Excel,We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Documents",Line Chart,"Product Managers, Project Managers, Executives",Moderate,Weekly,"Analysis, Summarization, Research, PR/Branding",Collaborative,4,Not having Tableau.,I would use Tableau.,That they need to invest in Tableau.,2,4,3,I would enhance my knowledge.,,,Much more,5,Some college.,Marketing/Ad agency,Architectural Engineering,Man,No,Atlanta,USA,English
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project",Improving my data skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Analyst,$40k - $60k,$23.00,"Analysis, Summary/Overview, Communication, Marketing, Storytelling",There are no specialists in data visualization in my organization,"General purpose charting libraries (plotly, highcharts)",5,"Marketing, Research, Leadership, Data Science/Analytics",5,0,20,0,15,0,Excel,We have a set list of tools we're expected to use for data visualization and this causes no issue,Documents,"Line Chart, Bar Chart","General Public, Product Managers, Project Managers","Intro, Moderate, Expert",Monthly,"Summarization, Research",Consultative,4,We don't use Tableau. ,Have my company use Tableau. ,,3,5,4,Get better with Python. ,One site with a list of resources. ,,Much more,6,"Some college, no degree. ",Private sector,Architecture,Man,"No, but I identify as an Ally",Atlanta,USA,English
Mostly Self-Taught,"Workshops, Collaboration with more skilled practitioners, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Analyst,$80k - $100k,$30.00,"Analysis, Summary/Overview, Communication, Marketing, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6,"Marketing, Data Science/Analytics",4,4,24,0,8,0,"Excel, ggplot2, Python, R, Tableau, Matplotlib",I'm able to choose my own tools.,"Dashboard, Presentations","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Choropleth Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","Product Managers, Project Managers, Executives","Moderate, Expert",Quarterly,"Analysis, Summarization",Collaborative,4,Frequently asked to update charts,Get someone who has more expertise than I,Need to educate people,4,3,1,Design,Data literacy education to public,,More,6.5,Bachelors,Private sector,Geophysics,Man,"No, but I identify as an Ally",Tokyo,Japan,"Japanese, English, German"
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,No,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Developer,$20k - $40k,$15.00,"Analysis, Summary/Overview",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",6,"Design, Engineering, Marketing",10,6,4,2,0,3,"D3, Excel, Vue, Pen & Paper",We have a set list of tools we're expected to use for data visualization and it causes some issues,"Static Web Page, Presentations",Treemap,"General Public, Product Managers, Project Managers, Executives",Moderate,Daily,Summarization,Collaborative,4,Limitations that come with svg elements.,"Make zooming and panning be simpler, instead of hoops that you have to jump through to do it.","How simple certain aspects are, but difficult others. Such as appending text with d3 is easy, moving it around etc. But converting my tree graph to a radial tree graph isn't easy.",4,4,3,Spending less time on it.,,,Less,1,Associates,Public sector,Computer Science,Man,No,Salt Lake City,USA,English
